D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
0.001185,6.16E-04,6.25E-04,1.858,1.114,362.94,358.83,298.04,303.96,1880,26.856
2.83E-04,4.56E-04,3.22E-04,0.467,1.391,348.32,337.72,306.2,309.55,151.81,39.335
9.99E-04,0.00116,0.001409,1.968,0.833,351.62,349.17,299.56,304.5,2051.4,18.034
1.88E-04,0.001207,0.001086,0.64,1.465,372.14,360.29,298.6,303.24,232.09,49.414
6.19E-04,4.20E-04,7.02E-04,0.938,0.702,371.45,363.42,303.04,312.53,491.39,11.484
1.58E-04,2.13E-04,3.58E-04,1.648,1.603,357.09,350.27,301.92,308.28,1259.3,50.643
4.69E-04,5.29E-04,4.06E-04,0.11,2.063,340.13,323.22,309.4,310.26,13.49,83.622
0.001163,3.56E-04,9.12E-04,1.937,2.263,346.6,342.7,303.64,306.69,2087.4,104.34
9.99E-04,4.81E-04,1.24E-04,0.491,2.193,351.22,338.31,299.82,302.52,186.57,92.758
1.11E-04,0.001183,4.18E-04,0.166,1.246,359.8,335.43,291.62,294.65,25.712,34.683
8.61E-04,2.37E-04,6.90E-04,1.483,1.824,356.9,349.74,296.96,302.25,1197.7,67.843
5.50E-04,3.97E-04,0.001376,0.142,1.897,365.84,333.64,305.96,308.19,21.066,78.813
0.001167,4.65E-04,3.20E-04,1.002,2.053,352.64,344.67,295.7,299.27,643.21,83.798
0.00111,1.15E-04,0.001335,0.514,2.019,340.89,330.63,304.22,306.7,214.4,87.032
8.63E-04,0.001032,0.001293,1.438,1.599,372.27,366.24,300.98,305.67,1097.2,58.76
2.10E-04,3.31E-04,5.26E-04,0.121,0.423,368.78,338.34,293.96,302.01,14.439,5.4287
4.63E-04,9.62E-04,0.001111,1.922,1.353,367.06,363.02,306.88,311.88,1718,41.406
1.36E-04,9.75E-04,1.03E-04,1.284,1.269,372.54,365.82,301.5,307.47,778.3,33.168
0.001192,8.00E-04,8.89E-04,0.489,2.384,355.81,343.26,299.88,302.26,188.15,119.51
0.001176,2.77E-04,0.001351,0.617,1.461,364.82,352.21,307.2,312.02,269.48,47.093
2.21E-04,6.16E-04,5.33E-04,0.336,2.328,366.3,345.22,308.04,310.85,88.977,105.49
3.49E-04,4.56E-04,7.61E-04,0.412,2.088,369.6,346.71,299,303.16,118.62,89.687
2.25E-04,9.00E-05,1.86E-04,1.563,1.473,351.52,345.59,307.28,313,1174.2,41.86
5.79E-04,4.62E-04,0.001285,1.831,0.432,346.5,344.34,299.64,307.92,1678.2,5.7699
2.96E-04,3.70E-04,3.20E-04,0.584,1.188,344.06,335.22,298.26,302.34,220.79,29.206
4.70E-04,4.14E-04,2.95E-04,0.288,1.152,350.43,334.86,298.58,302.22,76.679,27.618
3.28E-04,7.72E-04,3.71E-04,0.902,0.776,366.99,359.42,298.26,306.12,437.5,13.92
0.001025,7.45E-04,0.001031,1.656,0.715,362.67,358.7,293.18,301.31,1482.4,13.359
0.001199,6.27E-04,4.35E-04,0.966,0.801,370.06,363.47,306.54,313.55,580.99,14.085
